Date,Model,Count
08/31/16,M45,5
08/31/16,M121,3
08/31/16,M122,4
08/31/16,M91,10
08/31/16,M66,57
08/31/16,M100,59
08/31/16,M5,17
08/31/16,M14,653
08/31/16,M62,8
08/31/16,M15,25
08/31/16,M61,3
08/31/16,M82,42
08/31/16,M108,4
08/31/16,M55,1
08/31/16,M43,1
08/31/16,M31,23
08/31/16,M90,31
08/31/16,M96,19
08/31/16,M69,1
08/31/16,M76,4
08/31/16,M56,2
08/31/16,M92,2
08/31/16,M72,15
08/31/16,M94,1
08/31/16,M8,189
08/31/16,M97,3
08/31/16,M71,5
08/31/16,M57,2
08/31/16,M107,8
08/31/16,M99,2
08/31/16,M18,2400
08/31/16,M30,5
08/31/16,M36,1
08/31/16,M86,2
08/31/16,M13,12
08/31/16,M73,40
08/31/16,M81,1
08/31/16,M41,92
08/31/16,M79,69
08/31/16,M70,1
08/31/16,M110,1
08/31/16,M95,3
08/31/16,M51,4
08/31/16,M117,7
08/31/16,M22,360
08/31/16,M10,54
08/31/16,M65,20
08/31/16,M115,4
08/31/16,M75,2
08/31/16,M124,1
08/31/16,M2,4
08/31/16,M42,2
08/31/16,M112,17
08/31/16,M27,1
08/31/16,M53,7
08/31/16,M60,1
08/31/16,M120,4
08/31/16,M23,858
08/31/16,M4,225
08/31/16,M39,13
08/31/16,M48,3
08/31/16,M32,35
08/31/16,M87,3
08/31/16,M6,74
08/31/16,M64,21
08/31/16,M68,1
08/31/16,M17,35
08/31/16,M7,12
08/31/16,M24,770
08/31/16,M44,2
08/31/16,M16,168
08/31/16,M77,75
08/31/16,M78,122
08/31/16,M28,50
08/31/16,M12,4
08/31/16,M1,1
08/31/16,M84,361
08/31/16,M11,106
08/31/16,M25,720
08/31/16,M20,360
08/31/16,M105,1
08/31/16,M88,1
08/31/16,M109,10
08/31/16,M21,44
08/31/16,M19,342
08/31/16,M40,40
08/31/16,M9,13
08/31/16,M116,2
08/31/16,M50,1
08/31/16,M67,71
08/31/16,M93,8
08/31/16,M89,5
08/31/16,M63,3
08/31/16,M123,24
08/30/16,M119,1
08/30/16,M41,75
08/30/16,M90,25
08/30/16,M60,1
08/30/16,M76,1
08/30/16,M31,25
08/30/16,M115,2
08/30/16,M36,1
08/30/16,M66,67
08/30/16,M42,15
08/30/16,M72,17
08/30/16,M69,2
08/30/16,M112,24
08/30/16,M8,190
08/30/16,M28,35
08/30/16,M95,3
08/30/16,M49,1
08/30/16,M18,2600
08/30/16,M27,1
08/30/16,M9,11
08/30/16,M52,2
08/30/16,M32,31
08/30/16,M2,4
08/30/16,M20,390
08/30/16,M91,6
08/30/16,M67,67
08/30/16,M120,5
08/30/16,M75,3
08/30/16,M93,4
08/30/16,M77,82
08/30/16,M16,152
08/30/16,M102,1
08/30/16,M17,52
08/30/16,M24,812
08/30/16,M30,5
08/30/16,M87,5
08/30/16,M45,6
08/30/16,M40,39
08/30/16,M13,16
08/30/16,M78,136
08/30/16,M107,7
08/30/16,M39,9
08/30/16,M121,5
08/30/16,M14,692
08/30/16,M85,2
08/30/16,M25,675
08/30/16,M65,24
08/30/16,M43,1
08/30/16,M5,18
08/30/16,M48,6
08/30/16,M116,1
08/30/16,M63,1
08/30/16,M99,2
08/30/16,M22,336
08/30/16,M15,17
08/30/16,M53,15
08/30/16,M109,13
08/30/16,M7,8
08/30/16,M73,41
08/30/16,M4,245
08/30/16,M122,1
08/30/16,M71,5
08/30/16,M11,114
08/30/16,M57,6
08/30/16,M94,5
08/30/16,M70,2
08/30/16,M6,82
08/30/16,M19,387
08/30/16,M84,280
08/30/16,M56,2
08/30/16,M123,19
08/30/16,M79,63
08/30/16,M62,5
08/30/16,M89,6
08/30/16,M10,51
08/30/16,M23,676
08/30/16,M108,6
08/30/16,M96,21
08/30/16,M88,1
08/30/16,M126,1
08/30/16,M51,10
08/30/16,M82,43
08/30/16,M61,3
08/30/16,M64,17
08/30/16,M86,2
08/30/16,M59,1
08/30/16,M117,12
08/30/16,M100,43
08/30/16,M1,2
08/30/16,M92,1
08/30/16,M21,22
08/29/16,M105,2
08/29/16,M22,252
08/29/16,M96,25
08/29/16,M84,321
08/29/16,M1,1
08/29/16,M50,1
08/29/16,M28,39
08/29/16,M6,81
08/29/16,M77,73
08/29/16,M67,76
08/29/16,M2,5
08/29/16,M38,1
08/29/16,M78,128
08/29/16,M24,616
08/29/16,M17,40
08/29/16,M19,270
08/29/16,M20,300
08/29/16,M86,1
08/29/16,M9,10
08/29/16,M11,110
08/29/16,M64,24
08/29/16,M68,1
08/29/16,M13,16
08/29/16,M103,1
08/29/16,M93,4
08/29/16,M82,54
08/29/16,M75,3
08/29/16,M45,2
08/29/16,M52,2
08/29/16,M62,4
08/29/16,M74,1
08/29/16,M53,9
08/29/16,M89,4
08/29/16,M98,1
08/29/16,M44,1
08/29/16,M10,81
08/29/16,M31,25
08/29/16,M41,70
08/29/16,M48,4
08/29/16,M25,975
08/29/16,M109,9
08/29/16,M117,11
08/29/16,M65,24
08/29/16,M7,5
08/29/16,M70,2
08/29/16,M116,6
08/29/16,M99,2
08/29/16,M73,48
08/29/16,M40,33
08/29/16,M123,26
08/29/16,M92,1
08/29/16,M16,187
08/29/16,M37,1
08/29/16,M107,9
08/29/16,M88,6
08/29/16,M66,50
08/29/16,M27,3
08/29/16,M110,1
08/29/16,M5,22
08/29/16,M87,5
08/29/16,M100,42
08/29/16,M79,56
08/29/16,M71,8
08/29/16,M121,3
08/29/16,M36,2
08/29/16,M120,1
08/29/16,M112,34
08/29/16,M15,21
08/29/16,M61,2
08/29/16,M14,639
08/29/16,M18,2704
08/29/16,M81,2
08/29/16,M108,4
08/29/16,M94,2
08/29/16,M8,193
08/29/16,M76,6
08/29/16,M23,689
08/29/16,M90,27
08/29/16,M113,1
08/29/16,M125,2
08/29/16,M57,5
08/29/16,M51,9
08/29/16,M72,11
08/29/16,M39,5
08/29/16,M59,1
08/29/16,M56,1
08/29/16,M85,1
08/29/16,M32,30
08/29/16,M30,4
08/29/16,M91,10
08/29/16,M4,253
08/29/16,M69,2
08/29/16,M21,22
08/28/16,M10,66
08/28/16,M117,17
08/28/16,M38,1
08/28/16,M93,5
08/28/16,M100,47
08/28/16,M64,33
08/28/16,M123,20
08/28/16,M23,754
08/28/16,M73,42
08/28/16,M51,8
08/28/16,M86,2
08/28/16,M68,4
08/28/16,M99,1
08/28/16,M77,82
08/28/16,M21,22
08/28/16,M15,26
08/28/16,M24,756
08/28/16,M104,1
08/28/16,M107,5
08/28/16,M70,2
08/28/16,M7,8
08/28/16,M41,71
08/28/16,M8,165
08/28/16,M4,206
08/28/16,M30,2
08/28/16,M28,49
08/28/16,M94,3
08/28/16,M122,2
08/28/16,M32,37
08/28/16,M66,62
08/28/16,M75,3
08/28/16,M62,6
08/28/16,M84,257
08/28/16,M89,6
08/28/16,M22,324
08/28/16,M61,2
08/28/16,M96,23
08/28/16,M108,4
08/28/16,M82,49
08/28/16,M56,1
08/28/16,M59,1
08/28/16,M53,11
08/28/16,M11,101
08/28/16,M2,2
08/28/16,M71,2
08/28/16,M45,4
08/28/16,M44,3
08/28/16,M13,15
08/28/16,M14,736
08/28/16,M40,44
08/28/16,M95,1
08/28/16,M79,67
08/28/16,M112,21
08/28/16,M18,2832
08/28/16,M31,30
08/28/16,M5,25
08/28/16,M20,330
08/28/16,M85,2
08/28/16,M88,2
08/28/16,M26,2
08/28/16,M52,2
08/28/16,M90,26
08/28/16,M78,146
08/28/16,M27,1
08/28/16,M25,705
08/28/16,M81,1
08/28/16,M69,1
08/28/16,M60,3
08/28/16,M113,1
08/28/16,M17,53
08/28/16,M105,2
08/28/16,M109,11
08/28/16,M63,2
08/28/16,M87,4
08/28/16,M115,1
08/28/16,M120,1
08/28/16,M39,8
08/28/16,M76,8
08/28/16,M6,90
08/28/16,M19,243
08/28/16,M9,9
08/28/16,M121,2
08/28/16,M65,13
08/28/16,M91,10
08/28/16,M43,1
08/28/16,M67,73
08/28/16,M72,13
08/28/16,M16,187
08/28/16,M98,1
08/28/16,M74,1
08/28/16,M48,4
08/27/16,M44,1
08/27/16,M87,5
08/27/16,M115,1
08/27/16,M78,137
08/27/16,M39,8
08/27/16,M2,3
08/27/16,M40,40
08/27/16,M77,100
08/27/16,M120,3
08/27/16,M21,11
08/27/16,M17,47
08/27/16,M26,2
08/27/16,M84,229
08/27/16,M35,1
08/27/16,M121,4
08/27/16,M11,118
08/27/16,M89,3
08/27/16,M10,61
08/27/16,M67,80
08/27/16,M20,290
08/27/16,M6,83
08/27/16,M75,4
08/27/16,M96,12
08/27/16,M5,20
08/27/16,M15,18
08/27/16,M73,37
08/27/16,M81,3
08/27/16,M65,29
08/27/16,M72,22
08/27/16,M31,28
08/27/16,M13,15
08/27/16,M63,3
08/27/16,M117,9
08/27/16,M91,9
08/27/16,M109,10
08/27/16,M94,1
08/27/16,M27,1
08/27/16,M4,248
08/27/16,M108,10
08/27/16,M126,1
08/27/16,M68,1
08/27/16,M22,216
08/27/16,M64,27
08/27/16,M36,1
08/27/16,M16,199
08/27/16,M56,4
08/27/16,M105,1
08/27/16,M18,2744
08/27/16,M48,5
08/27/16,M43,1
08/27/16,M9,8
08/27/16,M7,5
08/27/16,M28,37
08/27/16,M92,1
08/27/16,M86,2
08/27/16,M62,10
08/27/16,M125,1
08/27/16,M66,71
08/27/16,M79,73
08/27/16,M14,672
08/27/16,M70,1
08/27/16,M82,37
08/27/16,M90,31
08/27/16,M76,1
08/27/16,M51,6
08/27/16,M123,26
08/27/16,M107,5
08/27/16,M41,60
08/27/16,M93,6
08/27/16,M119,1
08/27/16,M85,2
08/27/16,M61,1
08/27/16,M45,2
08/27/16,M25,960
08/27/16,M19,441
08/27/16,M102,4
08/27/16,M71,7
08/27/16,M24,672
08/27/16,M32,26
08/27/16,M95,2
08/27/16,M57,1
08/27/16,M23,637
08/27/16,M8,180
08/27/16,M53,9
08/27/16,M112,25
08/27/16,M30,4
08/27/16,M100,49
08/27/16,M116,4
08/27/16,M69,1
08/27/16,M99,3
08/26/16,M117,8
08/26/16,M61,3
08/26/16,M79,73
08/26/16,M94,4
08/26/16,M14,527
08/26/16,M45,3
08/26/16,M85,1
08/26/16,M4,248
08/26/16,M108,3
08/26/16,M57,4
08/26/16,M82,53
08/26/16,M5,15
08/26/16,M99,1
08/26/16,M115,1
08/26/16,M51,7
08/26/16,M23,1079
08/26/16,M107,8
08/26/16,M81,4
08/26/16,M73,32
08/26/16,M15,21
08/26/16,M41,67
08/26/16,M95,2
08/26/16,M122,1
08/26/16,M56,1
08/26/16,M102,1
08/26/16,M8,171
08/26/16,M98,1
08/26/16,M60,1
08/26/16,M100,32
08/26/16,M62,6
08/26/16,M52,1
